SampleID;Line;Spot;SpotID;Genus;Locality;skeletPart;tissueType;mmThickness;thickClass;mmDist;maxDist;profilePerc
TS020;L1;3;T-20-1_Ap3;Tarbosaurus;Nemegt;tibia;Cortex;39.410960270731394;long;1.179365162;28.72226057;4.106101464840238
TS020;L1;4;T-20-1_Ap4;Tarbosaurus;Nemegt;tibia;Cortex;39.410960270731394;long;1.677705751;28.72226057;5.841134081042145
TS020;L1;5;T-20-1_Ap5;Tarbosaurus;Nemegt;tibia;Cortex;39.410960270731394;long;2.17619217;28.72226057;7.576674421904669
TS020;L1;6;T-20-1_Ap6;Tarbosaurus;Nemegt;tibia;Cortex;39.410960270731394;long;2.678045387;28.72226057;9.323936674389694
TS021;L1;1;T21-1;Tarbosaurus;Altan Uul;femur;Cortex;17.120427260134747;mid;0.165283873;16.77140655;0.9855099064425221
TS021;L1;2;T21-2;Tarbosaurus;Altan Uul;femur;Cortex;17.120427260134747;mid;0.569328555;16.77140655;3.394638090148736
TS021;L1;3;T21-3;Tarbosaurus;Altan Uul;femur;Cortex;17.120427260134747;mid;1.086830573;16.77140655;6.480258944053801
TS021;L1;4;T21-4;Tarbosaurus;Altan Uul;femur;Cortex;17.120427260134747;mid;1.634817417;16.77140655;9.74764646081518
TS021;L1;5;T21-5;Tarbosaurus;Altan Uul;femur;Cortex;17.120427260134747;mid;2.175946045;16.77140655;12.974141664939845
TS021;L1;6;T21-6;Tarbosaurus;Altan Uul;femur;Cortex;17.120427260134747;mid;2.600187823;16.77140655;15.50369562176048
TS022;L1;1;T-22.2_first_Ap1;Tarbosaurus;Altan Uul;metatarsal;Cortex;11.367591997307123;mid;0.763626459;8.757455256;8.719730066297698
TS022;L1;2;T-22.2_first_Ap2;Tarbosaurus;Altan Uul;metatarsal;Cortex;11.367591997307123;mid;1.277070008;8.757455256;14.58266095193624
TS022;L1;3;T-22.2_first_Ap3;Tarbosaurus;Altan Uul;metatarsal;Cortex;11.367591997307123;mid;1.784903517;8.757455256;20.381531675849647
TS022;L1;4;T-22.2_first_Ap4;Tarbosaurus;Altan Uul;metatarsal;Cortex;11.367591997307123;mid;2.273287069;8.757455256;25.95830640918778
TS022;L1;5;T-22.2_first_Ap5;Tarbosaurus;Altan Uul;metatarsal;Cortex;11.367591997307123;mid;2.783241191;8.757455256;31.781392078402188
TS024;L3;1;T24 L3-1;Tarbosaurus;Nemegt;rib;Cortex;12.519480464882612;mid;0.092805782;21.87277909;0.4242980812732197
TS024;L3;2;T24 L3-2;Tarbosaurus;Nemegt;rib;Cortex;12.519480464882612;mid;0.227968608;21.87277909;1.0422480246427615
TS024;L3;3;T24 L3-3;Tarbosaurus;Nemegt;rib;Cortex;12.519480464882612;mid;0.363131434;21.87277909;1.6601979680123033
TS024;L3;4;T24 L3-4;Tarbosaurus;Nemegt;rib;Cortex;12.519480464882612;mid;0.641226605;21.87277909;2.931619262287351
TS024;L3;5;T24 L3-5;Tarbosaurus;Nemegt;rib;Cortex;12.519480464882612;mid;2.010875139;21.87277909;9.19350545591781
TS024;L3;6;T24 L3-6;Tarbosaurus;Nemegt;rib;Cortex;12.519480464882612;mid;2.897122437;21.87277909;13.245333046519603
TS025;L1;2;T25-2_Ap2;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;0.233737403;16.51659295;1.4151671819217413
TS025;L1;3;T25-2_Ap3;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;0.476004533;16.51659295;2.881977744689773
TS025;L1;4;T25-2_Ap4;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;0.71415376;16.51659295;4.323856391944321
TS025;L1;5;T25-2_Ap5;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;0.952904936;16.51659295;5.7693795499149845
TS025;L1;6;T25-2_Ap6;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;1.191207358;16.51659295;7.212185718968149
TS025;L1;7;T25-2_Ap7;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;1.43436368;16.51659295;8.68437991020418
TS025;L1;8;T25-2_Ap8;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;1.671853508;16.51659295;10.122266214715912
TS025;L1;9;T25-2_Ap9;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;1.911885183;16.51659295;11.575542176208927
TS025;L1;10;T25-2_Ap10;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;2.147960467;16.51659295;13.00486409940859
TS025;L1;11;T25-2_Ap11;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;2.421807928;16.51659295;14.662878326852514
TS025;L1;12;T25-2_Ap12;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;2.699056446;16.51659295;16.341484313203956
TS025;L1;13;T25-2_Ap13;Tarbosaurus;Nemegt;femur;Cortex;16.829535544019386;mid;2.969702662;16.51659295;17.98011654697829
TS026;L1;1;T26-1;Tarbosaurus;Nemegt;rib;Cortex;2.3652630937235477;short;0.189700113;2.959619333;6.409611901261357
TS026;L1;2;T26-2;Tarbosaurus;Nemegt;rib;Cortex;2.3652630937235477;short;0.577907939;2.959619333;19.52642802931711
TS026;L1;3;T26-3;Tarbosaurus;Nemegt;rib;Cortex;2.3652630937235477;short;1.035109073;2.959619333;34.97439895254259
TS026;L1;4;T26-4;Tarbosaurus;Nemegt;rib;Cortex;2.3652630937235477;short;1.580225628;2.959619333;53.392867467121654
TS026;L1;5;T26-5;Tarbosaurus;Nemegt;rib;Cortex;2.3652630937235477;short;1.943371919;2.959619333;65.6629012160869
TS026;L1;6;T26-6;Tarbosaurus;Nemegt;rib;Cortex;2.3652630937235477;short;2.364685063;2.959619333;79.89828410138988
TS026;L1;7;T26-7;Tarbosaurus;Nemegt;rib;Spongy;2.3652630937235477;short;2.959619333;2.959619333;100.0
TS027;L3;1;T27-L3-1;Tarbosaurus;Tsagan Khushuu;rib;Cortex;2.3117077324411093;short;0.123178545;2.311707853;5.328465049774609
TS027;L3;2;T27-L3-2;Tarbosaurus;Tsagan Khushuu;rib;Cortex;2.3117077324411093;short;0.659078359;2.311707853;28.510452051485935
TS027;L3;3;T27-L3-3;Tarbosaurus;Tsagan Khushuu;rib;Cortex;2.3117077324411093;short;1.13928617;2.311707853;49.28331097381102
TS027;L3;4;T27-L3-4;Tarbosaurus;Tsagan Khushuu;rib;Cortex;2.3117077324411093;short;1.625874926;2.311707853;70.33219720606279
TS027;L3;5;T27-L3-5;Tarbosaurus;Tsagan Khushuu;rib;Cortex;2.3117077324411093;short;2.311707853;2.311707853;100.0
TS030;L1;1;T-30.2_Ap1;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;0.203915364;30.49139388;0.6687636675532657
TS030;L1;4;T-30.2_Ap4;Tarbosaurus;Tsagan Khushuu;femur;Cortex;30.302742245798886;long;0.965172807;30.49139388;3.165394179086968
